"frame","time","face_prob","face_id","pitchF0","segment_id","segment_start","segment_end","track","speaker_id","text_token_id","text_token","text_token_start","text_token_end","match_id","FaceRectX","FaceRectY","FaceRectWidth","FaceRectHeight","AU01","AU02","AU04","AU06","AU07","AU10","AU12","AU14","AU15","AU17","AU23","AU24","fl1","fl2","fl3","fl4","fl5","fl6","fl7","fl8","fl9","fl10","fl11","fl12","fl13","fl14","fl15","fl16","fl17","fl18","fl19","fl20","fl21","fl22","fl23","fl24","fl25","fl26","fl27","fl28","fl29","fl30","fl31","fl32","fl33","fl34","fl35","fl36","fl37","fl38","fl39","fl40","fl41","fl42","fl43","fl44","fl45","fl46","fl47","fl48","fl49","fl50","fl51","fl52","fl53","fl54","fl55","fl56","fl57","fl58","fl59","fl60","fl61","fl62","fl63","fl64","fl65","fl66","fl67","fl68"
18,0.72,0.932,41,156.072,1,0.498,20.495,0,"SPEAKER_00",0,"",0,0,0,522.597,88.5,537.497,107.633,0.087,0.992,0.003,0.915,0.892,0.628,0.97,0.885,0.087,0.001,0.012,0,"521.81598242 96.55862749","521.65081963 98.28873658","521.69680828 100.10273927","521.96867128 101.92438287","522.40236658 103.6327765","523.11060038 105.21469384","524.16302823 106.54965401","525.46019301 107.58370411","527.23945889 108.02155805","529.34831452 107.89771366","531.65208215 107.4409551","533.91097832 106.64724278","535.83537596 105.35271245","537.1763168 103.49167752","537.94671798 101.25680369","538.35491544 98.93330812","538.63131958 96.61764824","522.04204789 94.15659443","522.69549814 93.56230083","523.64344262 93.40170324","524.70783463 93.50339049","525.67849144 93.83321354","529.29902524 93.53173214","530.60404128 93.13150088","532.07631677 92.96761879","533.5583781 93.23440273","534.84171152 93.94983548","527.28380486 95.74894595","527.075867 96.79764423","526.84156707 97.77277777","526.57856536 98.7850824","525.66734663 100.46369612","526.27103931 100.65116143","526.95035785 100.73284328","527.85266843 100.64004719","528.74815634 100.47814441","523.06380285 96.62129825","523.91952372 96.26184818","524.81814748 96.18389902","525.74154386 96.48211148","524.85378066 96.82557365","523.95591141 96.879958","530.24145931 96.32104391","531.17285162 95.92306432","532.1600371 95.9688763","533.27522546 96.29183307","532.16144478 96.60306859","531.17446542 96.59596336","524.78326628 103.20562571","525.43200028 102.48210841","526.20533007 102.01557308","526.82970935 102.17338872","527.52690309 102.02347672","528.79636919 102.4891004","530.15763479 103.22491425","528.8325454 103.83653378","527.62973303 104.17759734","526.83266515 104.23776758","526.10176799 104.16503692","525.39120409 103.8194434","525.15058148 103.17910057","526.20443088 102.85367328","526.85255504 102.91201681","527.56820381 102.86656553","529.74038988 103.18475848","527.57005033 103.15573734","526.84182075 103.18582642","526.16942114 103.13425404"
19,0.76,0.912,26,164.778,1,0.498,20.495,0,"SPEAKER_00",0,"",0,0,0,101.661,66.588,118.018,86.662,0.097,0.905,0.006,0.768,0.761,0.922,0.973,0.748,0.108,0.003,0.008,0,"101.5427103 72.98830068","101.84854949 75.58598375","102.33737761 78.23013163","103.28527743 80.66272473","105.01966918 82.63281798","107.36381853 83.99242496","110.04739308 84.98037553","112.79426837 85.55742359","115.11417413 85.67479587","116.5920248 85.07164454","117.1587851 83.74304986","117.50848317 82.20077372","117.79141808 80.44651127","118.04119968 78.68861413","118.22203898 76.91656089","118.19937968 75.18792963","117.91168118 73.65256405","108.63412523 71.09346664","110.01407051 70.49551731","111.5163579 70.16101635","113.03515935 70.27617669","114.35405159 70.67219532","116.70232916 71.08239746","117.09106469 70.69379127","117.55461359 70.41758156","117.99319172 70.33589488","118.34940338 70.64763999","115.96128249 72.53556645","116.57103324 73.92226613","117.18810701 75.23227787","117.86428237 76.57776213","114.96985102 78.12361217","115.81118488 78.36302018","116.61293769 78.46935725","117.20214272 78.30927944","117.60232949 77.94855809","110.1487639 72.64433479","111.4000597 72.13871813","112.42560172 72.02945745","113.1473639 72.77946508","112.37993503 73.07744598","111.4181664 73.06489503","116.32677698 72.72988415","116.90313482 72.19165182","117.48959565 72.13921225","117.77449036 72.72402024","117.47023845 73.07236767","116.92372584 73.03646362","113.66091156 80.8369801","115.00118041 80.17775035","116.30029941 79.63858223","116.8619647 79.78373623","117.27592611 79.63096595","117.5464859 80.12072897","117.50209117 80.79638577","117.46788168 81.13510108","117.11405182 81.4178226","116.66905308 81.47643185","116.07867503 81.40780306","114.96812129 81.13522983","114.06451011 80.82121229","116.13867068 80.41784263","116.71092415 80.45011973","117.07714105 80.43588495","117.45184326 80.70689058","117.10655594 80.55147505","116.72605658 80.53180313","116.16977358 80.47169542"
19,0.76,0.925,41,164.778,1,0.498,20.495,0,"SPEAKER_00",0,"",0,0,0,522.755,89.243,536.901,107.392,0.085,0.992,0.003,0.928,0.915,0.608,0.973,0.896,0.103,0.001,0.009,0,"521.89957248 96.22721434","521.8000876 97.87246686","521.89444906 99.57274759","522.2001545 101.27051187","522.68377435 102.84779775","523.42150709 104.29667878","524.42736578 105.53760064","525.60479492 106.52708149","527.20122963 106.96545208","529.07373393 106.87018859","531.11201966 106.44822133","533.16649735 105.71879351","534.9424212 104.53482997","536.19415665 102.81463814","536.94279122 100.74388695","537.41820204 98.58483315","537.77246606 96.41757125","522.16531247 94.24433607","522.79722536 93.74639738","523.68471065 93.6282391","524.6895957 93.7312606","525.62372702 94.01700437","529.25530982 93.73612666","530.53224194 93.41278046","531.9493463 93.2815094","533.36699891 93.56489927","534.56677568 94.27508599","527.2061649 95.88953334","526.97231865 96.92278409","526.71338463 97.88204449","526.43447727 98.86985004","525.55521053 100.37440085","526.13615608 100.55277634","526.77911001 100.63620698","527.63718569 100.57212579","528.50083447 100.44378316","523.11778098 96.53346145","523.98021311 96.2063092","524.87331146 96.16358644","525.71649659 96.52486765","524.84933895 96.86652315","523.96164417 96.87725037","530.02130044 96.45260197","530.95848465 96.01679611","531.9641875 96.07103574","533.05420721 96.41899604","531.94377804 96.80364788","530.94079602 96.78155935","524.68872988 102.95948172","525.32490963 102.41714227","526.04227608 102.04052258","526.61586702 102.19563687","527.2479918 102.06852484","528.44707602 102.48772728","529.76185143 103.08136666","528.54728496 103.68409979","527.42662263 104.03001463","526.69263989 104.07133996","525.99741292 103.97523105","525.30336183 103.58895004","525.00914979 102.9726063","526.04357427 102.79054439","526.65203339 102.86139119","527.30128944 102.82188976","529.38730776 103.05124331","527.37581033 103.04791415","526.70534229 103.07012498","526.07624412 102.99789846"
20,0.8,0.909,26,NA,1,0.498,20.495,0,"SPEAKER_00",2,"once",0.76,1.14,0,101.652,66.582,118.018,86.668,0.098,0.91,0.007,0.765,0.75,0.926,0.975,0.753,0.115,0.003,0.009,0,"101.54190594 73.02015162","101.85411626 75.61790681","102.34985942 78.26132751","103.30550694 80.69136357","105.04670465 82.65745854","107.39700401 84.01190495","110.08462095 84.99460196","112.8326335 85.5684886","115.15383267 85.68254089","116.63250709 85.07679558","117.19628835 83.74398565","117.53904128 82.19571924","117.81397843 80.43739533","118.05625939 78.67584085","118.23051119 76.9012413","118.20223832 75.17276382","117.91005278 73.63955653","108.62410748 71.10512054","110.00350738 70.50671941","111.50428319 70.17145938","113.02239203 70.28463817","114.3420198 70.67806101","116.69482017 71.08288622","117.08353066 70.69222248","117.54655147 70.41379398","117.98505092 70.33008164","118.34363127 70.64036554","115.95831895 72.53281271","116.5708437 73.91813374","117.19021106 75.22713637","117.86893272 76.57147741","114.97980738 78.1193397","115.82184458 78.35834599","116.62427688 78.46487021","117.21320415 78.30311513","117.61232758 77.94137454","110.14546299 72.65482283","111.39345193 72.14698827","112.41906667 72.03598714","113.14277911 72.78407729","112.37604642 73.08386004","111.41428256 73.07322657","116.32456923 72.72941923","116.90000558 72.19052947","117.48726153 72.13661289","117.77402782 72.72134459","117.47086072 73.07077026","116.92325974 73.03581631","113.67528701 80.82836485","115.01596713 80.16928768","116.31388211 79.63091111","116.87648678 79.77579927","117.29067826 79.62319946","117.56388807 80.11213875","117.52595568 80.78665829","117.48850369 81.12832999","117.13257575 81.41009903","116.68725038 81.46790004","116.09691763 81.3993082","114.98509312 81.12714028","114.07958055 80.81300473","116.1558845 80.40977693","116.72824764 80.44187999","117.09520364 80.42810059","117.47365141 80.69860435","117.1225121 80.54313755","116.74123549 80.52314734","116.18501568 80.46302176"
20,0.8,0.913,41,NA,1,0.498,20.495,0,"SPEAKER_00",2,"once",0.76,1.14,0,522.747,89.195,537.297,107.96,0.084,0.991,0.003,0.935,0.917,0.572,0.974,0.888,0.103,0.001,0.006,0,"521.8673975 96.16820896","521.79722555 97.81838173","521.92921732 99.51602745","522.26569843 101.20428491","522.77240178 102.7718215","523.52658907 104.20578194","524.53109056 105.42847872","525.68668866 106.41228402","527.24635082 106.84266698","529.08255517 106.73628092","531.09325707 106.29692972","533.13428295 105.5656426","534.90656865 104.38790607","536.16277051 102.68186772","536.90555143 100.61899042","537.35916233 98.46320999","537.68622983 96.30101746","522.07124056 94.19920737","522.70895144 93.70258242","523.60207233 93.59458435","524.60838217 93.70889366","525.54584533 94.00754583","529.07472742 93.76274061","530.35287833 93.43604004","531.77174973 93.30099887","533.19376791 93.57600737","534.40569293 94.2725808","527.11917871 95.87032765","526.90872562 96.91230845","526.67258608 97.88106173","526.4176389 98.87686992","525.55850428 100.35454929","526.1285767 100.52811074","526.75579089 100.60975182","527.59103936 100.55039775","528.43293059 100.43186665","523.05425715 96.42272645","523.90331095 96.07702404","524.80429339 96.04499042","525.64609772 96.45235735","524.77710921 96.78196061","523.88246724 96.78677893","529.8857373 96.40168399","530.80281889 95.92960232","531.81520903 95.98254055","532.90428567 96.3502993","531.80729222 96.74317425","530.80046606 96.7273578","524.74847394 102.94629383","525.35185081 102.38583767","526.04761046 102.00170243","526.60489517 102.162709","527.22114342 102.034199","528.39388192 102.47303522","529.66271591 103.0894444","528.48668903 103.7043097","527.39039457 104.0494113","526.67316759 104.08850396","525.99577141 103.98798227","525.32632476 103.58801126","525.06688541 102.95439625","526.05402523 102.74877381","526.64175087 102.8210572","527.27272767 102.7848345","529.28727853 103.05622792","527.33470815 103.04863942","526.68103611 103.0684545","526.06930256 102.99275184"
21,0.84,0.902,26,217.663,1,0.498,20.495,0,"SPEAKER_00",2,"once",0.76,1.14,0,101.565,66.584,117.853,86.518,0.103,0.913,0.006,0.773,0.76,0.925,0.973,0.756,0.116,0.003,0.009,0,"101.56686479 72.9459796","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
22,0.88,0.724,41,188.471,1,0.498,20.495,0,"SPEAKER_00",2,"once",0.76,1.14,0,521.279,87.239,538.612,109.796,0.069,0.986,0.003,0.949,0.914,0.616,0.975,0.83,0.08,0,0.004,0,"521.957874 96.26765126","521.66359991 98.03560457","521.59682685 99.91553348","521.83477721 101.82615089","522.27118469 103.61868817","522.96620587 105.32473189","523.98142488 106.81654131","525.24369426 108.03924328","527.04073358 108.59619236","529.25348386 108.47457993","531.65801299 107.97780621","533.99129862 107.09342057","535.97759116 105.69426054","537.39041471 103.72842324","538.20613474 101.39161533","538.61842513 98.90296274","538.8635776 96.44818109","522.12984864 93.5579614","522.73682384 92.97404231","523.65515396 92.8459802","524.66589034 93.01484077","525.52465186 93.44083819","528.93955687 93.12797764","530.26108974 92.691634","531.75575304 92.53621572","533.22856921 92.85433778","534.49837506 93.60433429","526.99037778 95.5579688","526.77040321 96.67045566","526.52040353 97.70104083","526.22857213 98.76311684","525.36776972 100.43898714","525.96848315 100.66290456","526.66144982 100.77013749","527.57085815 100.66866362","528.47487855 100.48414463","523.02537455 96.26784965","523.8146584 95.87440169","524.69899336 95.84140068","525.60771826 96.23081005","524.72673598 96.53607279","523.85536173 96.56257185","529.89896739 96.15770715","530.81629646 95.68840694","531.82639009 95.74188823","532.97693795 96.12218648","531.83252215 96.41951346","530.83108902 96.42417979","524.6482608 103.20720387","525.13762823 102.28415704","525.90875089 101.79410368","526.56034082 101.96440715","527.30375779 101.81744659","528.69572556 102.37380362","530.08375925 103.30657238","528.78775537 104.24531424","527.47282645 104.7493403","526.59568626 104.80465782","525.8211934 104.68024659","525.11873448 104.10614425","525.01770309 103.15980208","525.92607376 102.6918174","526.59022635 102.76714206","527.35236183 102.72655702","529.67014581 103.24159801","527.4016155 103.63205004","526.60867575 103.64835715","525.8926115 103.55162346"
22,0.88,0.873,26,188.471,1,0.498,20.495,0,"SPEAKER_00",2,"once",0.76,1.14,0,101.503,66.628,117.813,86.607,0.105,0.918,0.006,0.772,0.752,0.93,0.975,0.739,0.115,0.003,0.012,0,"101.52982706 73.06259251","101.84112155 75.65881467","102.33651394 78.30289817","103.28932101 80.72935438","105.02935612 82.69103742","107.37532282 84.04003477","110.05341077 85.02123332","112.79994869 85.59121943","115.12731099 85.6978879","116.61162639 85.08554435","117.17075491 83.74315953","117.50753069 82.18382096","117.77912164 80.41799283","118.01527286 78.64511824","118.17934775 76.86532712","118.15210128 75.13816929","117.86585832 73.60849118","108.61911201 71.16092837","109.99096775 70.56065327","111.48453856 70.2195195","112.99298787 70.32345182","114.30743718 70.71011907","116.68071771 71.09177089","117.06754589 70.69262064","117.52829695 70.40776825","117.96606684 70.31998849","118.32813644 70.63017941","115.93116307 72.54377282","116.54099488 73.95963883","117.15553069 75.30005491","117.82934928 76.67349792","114.93361616 78.16995835","115.78188086 78.41965055","116.59292364 78.53112316","117.19420576 78.3534286","117.59968901 77.97306991","110.13809824 72.68633878","111.38084197 72.17692113","112.40449691 72.06231928","113.13009644 72.80037558","112.36576462 73.10438848","111.40746737 73.09682763","116.30362535 72.71704471","116.87628174 72.17540598","117.45987558 72.11021519","117.74568105 72.68334842","117.45011592 73.03899801","116.9073441 73.01120019","113.6076405 80.79899764","114.96298814 80.16715741","116.27185845 79.64569068","116.84537792 79.78511071","117.26638818 79.63105059","117.55055213 80.0876615","117.52915168 80.71482992","117.47286701 81.06760716","117.10382247 81.36019444","116.64949679 81.42399883","116.04730988 81.35942197","114.92307091 81.09224296","114.00938892 80.79001522","116.11322069 80.4026351","116.69714952 80.43345547","117.07155848 80.41316843","117.48276615 80.63779569","117.09064865 80.51972485","116.69930243 80.50555325","116.13207841 80.4479835"
23,0.92,0.832,26,178.255,1,0.498,20.495,0,"SPEAKER_00",2,"once",0.76,1.14,0,101.367,66.495,117.576,86.348,0.104,0.919,0.006,0.78,0.755,0.939,0.977,0.756,0.127,0.003,0.012,0,"101.61688799 72.73537374","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
24,0.96,0.816,26,185.858,1,0.498,20.495,0,"SPEAKER_00",2,"once",0.76,1.14,0,101.485,66.462,117.699,86.306,0.098,0.92,0.006,0.789,0.74,0.942,0.981,0.749,0.136,0.003,0.015,0,"101.60702074 72.76607013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
